Country,Confederation,total_P,total_GF,total_GA,total_CS
Japan,AFC,0,0,0,0
Iran,AFC,0,0,0,0
South Korea,AFC,0,0,0,0
Australia,AFC,0,0,0,0
Qatar,AFC,0,0,0,0
Saudi Arabia,AFC,0,0,0,0
Iraq,AFC,0,0,0,0
UAE,AFC,0,0,0,0
China,AFC,0,0,0,0
Syria,AFC,0,0,0,0
Oman,AFC,0,0,0,0
Uzbekistan,AFC,0,0,0,0
Lebanon,AFC,0,0,0,0
Vietnam,AFC,0,0,0,0
Jordan,AFC,0,0,0,0
Kyrgyzstan,AFC,0,0,0,0
Bahrain,AFC,0,0,0,0
Palestine,AFC,0,0,0,0
India,AFC,0,0,0,0
Thailand,AFC,0,0,0,0
North Korea,AFC,0,0,0,0
Tajikistan,AFC,0,0,0,0
Philippines,AFC,0,0,0,0
Turkmenistan,AFC,0,0,0,0
Myanmar,AFC,0,0,0,0
Taipei,AFC,0,0,0,0
Hong Kong,AFC,0,0,0,0
Yemen,AFC,0,0,0,0
Kuwait,AFC,0,0,0,0
Afghanistan,AFC,0,0,0,0
Malaysia,AFC,0,0,0,0
Maldives,AFC,0,0,0,0
Singapore,AFC,0,0,0,0
Nepal,AFC,0,0,0,0
Cambodia,AFC,0,0,0,0
Indonesia,AFC,0,0,0,0
Macau,AFC,0,0,0,0
Bangladesh,AFC,0,0,0,0
Laos,AFC,0,0,0,0
Bhutan,AFC,0,0,0,0
Mongolia,AFC,0,0,0,0
Brunei,AFC,0,0,0,0
Timor-Leste,AFC,0,0,0,0
Guam,AFC,0,0,0,0
Pakistan,AFC,0,0,0,0
Sri Lanka,AFC,0,0,0,0
Senegal,CAF,0,0,0,0
Tunisia,CAF,0,0,0,0
Algeria,CAF,0,0,0,0
Morocco,CAF,0,0,0,0
Nigeria,CAF,0,0,0,0
Egypt,CAF,0,0,0,0
Cameroon,CAF,0,0,0,0
Ghana,CAF,0,0,0,0
Mali,CAF,0,0,0,0
Burkina Faso,CAF,0,0,0,0
Congo DR,CAF,0,0,0,0
Ivory Coast,CAF,0,0,0,0
South Africa,CAF,0,0,0,0
Guinea,CAF,0,0,0,0
Uganda,CAF,0,0,0,0
Cabo Verde,CAF,0,0,0,0
Benin,CAF,0,0,0,0
Gabon,CAF,0,0,0,0
Zambia,CAF,0,0,0,0
Congo,CAF,0,0,0,0
Madagascar,CAF,0,0,0,0
Mauritania,CAF,0,0,0,0
Kenya,CAF,0,0,0,0
Mozambique,CAF,0,0,0,0
Zimbabwe,CAF,0,0,0,0
Libya,CAF,0,0,0,0
Niger,CAF,0,0,0,0
Central African Republic,CAF,0,0,0,0
Sierra Leone,CAF,0,0,0,0
Namibia,CAF,0,0,0,0
Guinea-Bissau,CAF,0,0,0,0
Malawi,CAF,0,0,0,0
Angola,CAF,0,0,0,0
Sudan,CAF,0,0,0,0
Togo,CAF,0,0,0,0
Comoros,CAF,0,0,0,0
Rwanda,CAF,0,0,0,0
Equatorial Guinea,CAF,0,0,0,0
Tanzania,CAF,0,0,0,0
Burundi,CAF,0,0,0,0
Lesotho,CAF,0,0,0,0
Botswana,CAF,0,0,0,0
Ethiopia,CAF,0,0,0,0
Liberia,CAF,0,0,0,0
Eswatini,CAF,0,0,0,0
Gambia,CAF,0,0,0,0
South Sudan,CAF,0,0,0,0
Mauritius,CAF,0,0,0,0
Chad,CAF,0,0,0,0
Djibouti,CAF,0,0,0,0
Sao Tome and Principe,CAF,0,0,0,0
Somalia,CAF,0,0,0,0
Seychelles,CAF,0,0,0,0
Eritrea,CAF,0,0,0,0
Mexico,CONCACAF,0,0,0,0
USA,CONCACAF,0,0,0,0
Jamaica,CONCACAF,0,0,0,0
Costa Rica,CONCACAF,0,0,0,0
Honduras,CONCACAF,0,0,0,0
El Salvador,CONCACAF,0,0,0,0
Canada,CONCACAF,0,0,0,0
Curacao,CONCACAF,0,0,0,0
Panama,CONCACAF,0,0,0,0
Haiti,CONCACAF,0,0,0,0
Trinidad and Tobago,CONCACAF,0,0,0,0
Antigua and Barbuda,CONCACAF,0,0,0,0
Guatemala,CONCACAF,0,0,0,0
St. Kitts and Nevis,CONCACAF,0,0,0,0
Suriname,CONCACAF,0,0,0,0
Nicaragua,CONCACAF,0,0,0,0
Dominican Republic,CONCACAF,0,0,0,0
Grenada,CONCACAF,0,0,0,0
Barbados,CONCACAF,0,0,0,0
Guyana,CONCACAF,0,0,0,0
St. Vincent and the Grenadines,CONCACAF,0,0,0,0
Bermuda,CONCACAF,0,0,0,0
Belize,CONCACAF,0,0,0,0
St. Lucia,CONCACAF,0,0,0,0
Puerto Rico,CONCACAF,0,0,0,0
Cuba,CONCACAF,0,0,0,0
Montserrat,CONCACAF,0,0,0,0
Dominica,CONCACAF,0,0,0,0
Cayman Islands,CONCACAF,0,0,0,0
Bahamas,CONCACAF,0,0,0,0
Aruba,CONCACAF,0,0,0,0
Turks and Caicos Islands,CONCACAF,0,0,0,0
US Virgin Islands,CONCACAF,0,0,0,0
British Virgin Islands,CONCACAF,0,0,0,0
Anguilla,CONCACAF,0,0,0,0
Brazil,CONMEBOL,0,0,0,0
Argentina,CONMEBOL,0,0,0,0
Uruguay,CONMEBOL,0,0,0,0
Colombia,CONMEBOL,0,0,0,0
Chile,CONMEBOL,0,0,0,0
Peru,CONMEBOL,0,0,0,0
Venezuela,CONMEBOL,0,0,0,0
Paraguay,CONMEBOL,0,0,0,0
Ecuador,CONMEBOL,0,0,0,0
Bolivia,CONMEBOL,0,0,0,0
New Zealand,OFC,0,0,0,0
Solomon Islands,OFC,0,0,0,0
New Caledonia,OFC,0,0,0,0
Tahiti,OFC,0,0,0,0
Fiji,OFC,0,0,0,0
Vanuatu,OFC,0,0,0,0
Papua New Guinea,OFC,0,0,0,0
American Samoa,OFC,0,0,0,0
Samoa,OFC,0,0,0,0
Tonga,OFC,0,0,0,0
Cook Islands,OFC,0,0,0,0
Belgium,UEFA,0,0,0,0
France,UEFA,0,0,0,0
England,UEFA,0,0,0,0
Portugal,UEFA,0,0,0,0
Spain,UEFA,0,0,0,0
Italy,UEFA,0,0,0,0
Croatia,UEFA,0,0,0,0
Denmark,UEFA,0,0,0,0
Germany,UEFA,0,0,0,0
Netherlands,UEFA,0,0,0,0
Switzerland,UEFA,0,0,0,0
Wales,UEFA,0,0,0,0
Poland,UEFA,0,0,0,0
Sweden,UEFA,0,0,0,0
Austria,UEFA,0,0,0,0
Ukraine,UEFA,0,0,0,0
Serbia,UEFA,0,0,0,0
Turkey,UEFA,0,0,0,0
Slovakia,UEFA,0,0,0,0
Romania,UEFA,0,0,0,0
Russia,UEFA,0,0,0,0
Hungary,UEFA,0,0,0,0
Czechia,UEFA,0,0,0,0
Republic of Ireland,UEFA,0,0,0,0
Norway,UEFA,0,0,0,0
Northern Ireland,UEFA,0,0,0,0
Iceland,UEFA,0,0,0,0
Scotland,UEFA,0,0,0,0
Greece,UEFA,0,0,0,0
Finland,UEFA,0,0,0,0
Bosnia and Herzegovina,UEFA,0,0,0,0
Slovenia,UEFA,0,0,0,0
Montenegro,UEFA,0,0,0,0
North Macedonia,UEFA,0,0,0,0
Albania,UEFA,0,0,0,0
Bulgaria,UEFA,0,0,0,0
Israel,UEFA,0,0,0,0
Belarus,UEFA,0,0,0,0
Georgia,UEFA,0,0,0,0
Luxembourg,UEFA,0,0,0,0
Armenia,UEFA,0,0,0,0
Cyprus,UEFA,0,0,0,0
Faroe Islands,UEFA,0,0,0,0
Azerbaijan,UEFA,0,0,0,0
Estonia,UEFA,0,0,0,0
Kosovo,UEFA,0,0,0,0
Kazakhstan,UEFA,0,0,0,0
Lithuania,UEFA,0,0,0,0
Latvia,UEFA,0,0,0,0
Andorra,UEFA,0,0,0,0
Malta,UEFA,0,0,0,0
Moldova,UEFA,0,0,0,0
Liechtenstein,UEFA,0,0,0,0
Gibraltar,UEFA,0,0,0,0
San Marino,UEFA,0,0,0,0
